# Tuning hyper-parameters for precision

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
----------
Grid scores on development set:
0.780 (+/-0.046) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 150}
0.782 (+/-0.044) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 200}
0.784 (+/-0.041) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 250}
0.784 (+/-0.044) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 300}
0.783 (+/-0.041) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 400}
0.783 (+/-0.040) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 500}
0.821 (+/-0.030) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 50}
0.828 (+/-0.026) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 100}
0.826 (+/-0.022) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 150}
0.829 (+/-0.023) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 200}
0.830 (+/-0.023) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 250}
0.831 (+/-0.024) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 300}
0.830 (+/-0.024) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 400}
0.831 (+/-0.025) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 500}
0.848 (+/-0.034) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 50}
0.848 (+/-0.028) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 100}
0.849 (+/-0.030) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 150}
0.852 (+/-0.031) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 200}
0.854 (+/-0.030) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 250}
0.853 (+/-0.033) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 300}
0.853 (+/-0.032) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 400}
0.854 (+/-0.035) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 500}
0.857 (+/-0.028) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}
0.857 (+/-0.026) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 100}
0.860 (+/-0.024) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 150}
0.858 (+/-0.028) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 200}
0.857 (+/-0.027) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 250}
0.859 (+/-0.024) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 300}
0.861 (+/-0.028) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 400}
0.862 (+/-0.030) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 500}
0.866 (+/-0.024) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 50}
0.867 (+/-0.027) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 100}
0.867 (+/-0.031) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 150}
0.867 (+/-0.029) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 200}
0.866 (+/-0.029) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 250}
0.868 (+/-0.029) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 300}
0.868 (+/-0.032) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 400}
0.870 (+/-0.035) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 500}
0.874 (+/-0.037) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
0.871 (+/-0.034) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 100}
0.871 (+/-0.032) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 150}
0.871 (+/-0.030) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 200}
0.873 (+/-0.036) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 250}
0.873 (+/-0.035) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 300}
0.872 (+/-0.033) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 400}
0.872 (+/-0.036) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 500}
# Tuning hyper-parameters for recall

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 12, 'n_estimators': 400}
----------
Grid scores on development set:
0.912 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}
0.901 (+/-0.039) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}
0.900 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 150}
0.901 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 200}
0.899 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 250}
0.897 (+/-0.042) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 300}
0.896 (+/-0.046) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 400}
0.895 (+/-0.040) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 500}
0.892 (+/-0.039) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 50}
0.893 (+/-0.043) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 100}
0.892 (+/-0.036) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 150}
0.890 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 200}
0.890 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 250}
0.890 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 300}
0.893 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 400}
0.892 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 500}
0.905 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 50}
0.907 (+/-0.037) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 100}
0.909 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 150}
0.908 (+/-0.039) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 200}
0.910 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 250}
0.910 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 300}
0.910 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 400}
0.910 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 500}
0.910 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 50}
0.914 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 100}
0.915 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 150}
0.916 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 200}
0.915 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 250}
0.916 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 300}
0.917 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 400}
0.916 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 12, 'n_estimators': 500}
0.902 (+/-0.021) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 50}
0.907 (+/-0.024) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 100}
0.911 (+/-0.019) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 150}
0.912 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 200}
0.914 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 250}
0.912 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 300}
0.912 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 400}
0.913 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 15, 'n_estimators': 500}
0.900 (+/-0.023) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 50}
0.905 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 100}
0.908 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 150}
0.906 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 200}
0.908 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 250}
0.910 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 300}
0.908 (+/-0.036) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 400}
0.909 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 18, 'n_estimators': 500}
0.897 (+/-0.023) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 50}
0.900 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 100}
0.903 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 150}
0.904 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 200}
0.904 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 250}
0.904 (+/-0.042) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 300}
0.905 (+/-0.041) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 400}
0.906 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 21, 'n_estimators': 500}
0.901 (+/-0.032) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}
0.897 (+/-0.038) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}
0.896 (+/-0.042) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 150}
0.895 (+/-0.037) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 200}
0.892 (+/-0.038) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 250}
0.892 (+/-0.040) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 300}
0.890 (+/-0.042) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 400}
0.889 (+/-0.041) for {'criterion': 'gini', 'max_depth': 3, 'n_estimators': 500}
0.887 (+/-0.040) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 50}
0.888 (+/-0.031) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 100}
0.888 (+/-0.035) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 150}
0.888 (+/-0.036) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 200}
0.892 (+/-0.036) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 250}
0.890 (+/-0.034) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 300}
0.890 (+/-0.033) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 400}
0.893 (+/-0.028) for {'criterion': 'gini', 'max_depth': 6, 'n_estimators': 500}
0.908 (+/-0.030) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 50}
0.909 (+/-0.026) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 100}
0.911 (+/-0.032) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 150}
0.911 (+/-0.033) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 200}
0.912 (+/-0.032) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 250}
0.914 (+/-0.034) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 300}
0.915 (+/-0.037) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 400}
0.914 (+/-0.031) for {'criterion': 'gini', 'max_depth': 9, 'n_estimators': 500}
0.910 (+/-0.035) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 50}
0.916 (+/-0.023) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 100}
0.914 (+/-0.023) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 150}
0.916 (+/-0.031) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 200}
0.917 (+/-0.029) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 250}
0.917 (+/-0.034) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 300}
0.917 (+/-0.035) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 400}
0.917 (+/-0.031) for {'criterion': 'gini', 'max_depth': 12, 'n_estimators': 500}
0.907 (+/-0.033) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 50}
0.908 (+/-0.031) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 100}
0.909 (+/-0.029) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 150}
0.912 (+/-0.028) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 200}
0.912 (+/-0.031) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 250}
0.912 (+/-0.033) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 300}
0.914 (+/-0.033) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 400}
0.912 (+/-0.036) for {'criterion': 'gini', 'max_depth': 15, 'n_estimators': 500}
0.908 (+/-0.034) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 50}
0.904 (+/-0.030) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 100}
0.907 (+/-0.032) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 150}
0.910 (+/-0.032) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 200}
0.909 (+/-0.038) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 250}
0.910 (+/-0.034) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 300}
0.910 (+/-0.033) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 400}
0.911 (+/-0.034) for {'criterion': 'gini', 'max_depth': 18, 'n_estimators': 500}
0.894 (+/-0.034) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 50}
0.895 (+/-0.025) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 100}
0.900 (+/-0.030) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 150}
0.903 (+/-0.028) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 200}
0.903 (+/-0.033) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 250}
0.902 (+/-0.034) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 300}
0.906 (+/-0.031) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 400}
0.907 (+/-0.040) for {'criterion': 'gini', 'max_depth': 21, 'n_estimators': 500}
# Tuning hyper-parameters for f1

Best parameters set found on development set:
{'criterion': 'gini', 'max_depth': 18, 'n_estimators': 500}
----------
Grid scores on development set:
0.788 (+/-0.017) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}
0.786 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}
0.786 (+/-0.028) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 150}
0.787 (+/-0.031) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 200}
0.786 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 250}
0.785 (+/-0.033) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 300}
0.785 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 400}
0.785 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 500}
0.830 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 50}
0.830 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 100}
0.832 (+/-0.038) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 150}
0.830 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 200}
0.830 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 250}
0.829 (+/-0.034) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 300}
0.831 (+/-0.032) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 400}
0.832 (+/-0.035) for {'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 500}
0.861 (+/-0.029) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 50}
0.863 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 100}
0.867 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 150}
0.867 (+/-0.030) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 200}
0.868 (+/-0.027) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 250}
0.867 (+/-0.025) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 300}
0.867 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 400}
0.867 (+/-0.026) for {'criterion': 'entropy', 'max_depth': 9, 'n_estimators': 500}
